,ROB,IQ,WIDTH,IPC
1141,64,1,2,0.99930049
1142,64,1,3,0.99930049
1143,64,1,4,0.99930049
1144,64,1,5,0.99930049
1145,64,1,6,0.99930049
1146,64,1,7,0.99930049
1147,64,1,8,0.99930049
1148,64,1,9,0.99930049
1149,64,1,10,0.99930049
1150,64,1,11,0.99930049
1151,64,1,12,0.99930049
1152,64,1,13,0.99930049
1153,64,1,14,0.99930049
1154,64,1,15,0.99930049
1155,64,1,16,0.99930049
1156,64,1,17,0.99930049
1157,64,1,18,0.99930049
1158,64,1,19,0.99930049
1121,32,512,1,0.998901209
1122,32,512,2,1.993620415
1123,32,512,3,2.795638803
1124,32,512,4,3.03674461
1125,32,512,5,3.109452736
1126,32,512,6,3.156565657
1127,32,512,7,3.169572108
1128,32,512,8,3.209242619
1129,32,512,9,3.196930946
1130,32,512,10,3.223726628
1131,32,512,11,3.224766204
1132,32,512,12,3.214400514
1133,32,512,13,3.231017771
1134,32,512,14,3.239390994
1135,32,512,15,3.242542153
1136,32,512,16,3.25414904
1137,32,512,17,3.234152652
1138,32,512,18,3.242542153
1139,32,512,19,3.242542153
1102,32,256,1,0.998901209
1103,32,256,2,1.993620415
1104,32,256,3,2.795638803
1105,32,256,4,3.03674461
1106,32,256,5,3.109452736
1107,32,256,6,3.156565657
1108,32,256,7,3.169572108
1109,32,256,8,3.209242619
1110,32,256,9,3.196930946
1111,32,256,10,3.223726628
1112,32,256,11,3.224766204
1113,32,256,12,3.214400514
1114,32,256,13,3.231017771
1115,32,256,14,3.239390994
1116,32,256,15,3.242542153
1117,32,256,16,3.25414904
1118,32,256,17,3.234152652
1119,32,256,18,3.242542153
1120,32,256,19,3.242542153
1083,32,128,1,0.998901209
1084,32,128,2,1.993620415
1085,32,128,3,2.795638803
1086,32,128,4,3.03674461
1087,32,128,5,3.109452736
1088,32,128,6,3.156565657
1089,32,128,7,3.169572108
1090,32,128,8,3.209242619
1091,32,128,9,3.196930946
1092,32,128,10,3.223726628
1093,32,128,11,3.224766204
1094,32,128,12,3.214400514
1095,32,128,13,3.231017771
1096,32,128,14,3.239390994
1097,32,128,15,3.242542153
1098,32,128,16,3.25414904
1099,32,128,17,3.234152652
1100,32,128,18,3.242542153
1101,32,128,19,3.242542153
1064,32,64,1,0.998901209
